,Name,Under_13,Above_13,Doctors
0,Fungal infection,"Fluconazole (50 mg), Ketoconazole (100 mg) and Terbinafine (125 mg)","Fluconazole, Ketoconazole, Terbinafine","Dermatologist,Infectious Disease Specialist,Internal Medicine Physician"
1,Allergy,"Loratadine (5 mg), Cetirizine (Syrup) and Diphenhydramine (Syrup)","Loratadine, Cetirizine, Diphenhydramine","Allergist,Immunologist,Pediatrician"
2,GERD,,"Omeprazole, Lansoprazole, Esomeprazole","Gastroenterologist,Internal Medicine Physician,Nutritionist"
3,Chronic cholestasis,,"Ursodeoxycholic acid, Cholestyramine, Obeticholic acid","Hepatologist,Gastroenterologist,Endocrinologist"
4,Drug Reaction,"Diphenhydramine (Syrup), Prednisone (Syrup) and Epinephrine (1 mg/kg)","Diphenhydramine, Prednisone, Epinephrine","Allergist,Emergency Medicine Physician,Dermatologist"
5,Peptic ulcer,,"Omeprazole, Pantoprazole, Ranitidine","Gastroenterologist,Nutritionist,Internist"
6,AIDS,"Tenofovir, Emtricitabine and Lopinavir/ritonavir","Tenofovir, Emtricitabine, Lopinavir/ritonavir","Infectious Disease Specialist,HIV Specialist,Immunologist"
7,Diabetes ,Insulin dose and Glucagon-like peptide-1 (GLP-1) receptor agonists,"Metformin, Insulin, Sitagliptin","Endocrinologist,Nutritionist,Cardiologist"
8,Gastroenteritis,"Loperamide (Syrup), Doxycycline (100 mg) and Metronidazole (Syrup)","Loperamide, Doxycycline, Metronidazole","Gastroenterologist,Infectious Disease Specialist,Nutritionist"
9,Bronchial Asthma,"Albuterol (90 mcg), Fluticasone (Cream) and Montelukast (5 mg)","Albuterol, Fluticasone, Montelukast","Pulmonologist,Allergist,Internist"
10,Hypertension ,,"Lisinopril, Amlodipine, Hydrochlorothiazide","Cardiologist,Internal Medicine Physician,Nephrologist"
11,Migraine,"ondansetron (4 mg), Ibuprofen (Syrup) and  cognitive-behavioral therapy (CBT)","Sumatriptan, Ibuprofen, Propranolol","Neurologist,Pain Management Specialist,Psychiatrist"
12,Cervical spondylosis,"Acetaminophen (Syrup), Ibuprofen (Syrup) and Naproxen (5-10 mg)","Acetaminophen, Ibuprofen, Naproxen","Orthopedic Surgeon,Physiatrist,Physical Therapist"
13,Paralysis (brain hemorrhage),,"Aspirin, Clopidogrel, Tissue plasminogen activator (tPA)","Neurologist,Rehabilitation Specialist,Physiatrist"
14,Jaundice,"Ursodeoxycholic acid (150 mg), S-adenosylmethionine (SAMe) and Milk thistle","Ursodeoxycholic acid, S-adenosylmethionine (SAMe), Milk thistle","Hepatologist,Gastroenterologist,Nutritionist"
15,Malaria,"Chloroquine (Syrup), Artemether-lumefantrine and Doxycycline (100mg)","Chloroquine, Artemether-lumefantrine, Doxycycline","Infectious Disease Specialist,Tropical Medicine Specialist,Internist"
16,Chicken pox,"Acyclovir (200 mg), Valacyclovir (1 g) and Famciclovir (1 g)","Acyclovir, Valacyclovir, Famciclovir","Pediatrician,Infectious Disease Specialist,Emergency Medicine Physician"
17,Dengue,"Paracetamol (Syrup), Oral rehydration solution and Platelet transfusion","Paracetamol, Oral rehydration solution, Platelet transfusion","Infectious Disease Specialist,Critical Care Physician,Nutritionist"
18,Typhoid,"Ciprofloxacin (250 mg), Ceftriaxone (500 mg) and Azithromycin (250 mg)","Ciprofloxacin, Ceftriaxone, Azithromycin","Infectious Disease Specialist,Gastroenterologist,Internist"
19,hepatitis A,"Hepatitis A vaccine, Immune globulin (as prescribed) and Fosamprenavir (as prescribed)","Hepatitis A vaccine, Immune globulin, Fosamprenavir","Hepatologist,Gastroenterologist,Infectious Disease Specialist"
20,Hepatitis B,"Hepatitis B vaccine, Entecavir (as prescribed) and Tenofovir (as prescribed)","Hepatitis B vaccine, Entecavir, Tenofovir","Hepatologist,Gastroenterologist,Nutritionist"
